QB,Week 12 Score,ESPN Predict,LR - 2x boost,LR - standard,Lasso - standard,Ridge - standard,Lasso - 2x boost,Lasso - all data,Lasso - def weights,Lasso - homefield
Josh Allen QB,29.92,25.5,17.60218062,18.82020852,24.90646713,20.33104153,24.53551744,27.44789873,32.93747848,24.70310886
Jalen Hurts QB,29.82,23,26.23869625,25.13685794,26.94649811,25.40860729,27.85796941,25.32330836,27.85563919,27.85563919
Justin Herbert QB,28.76,17.9,14.93989146,14.6626415,15.57490666,14.44254898,16.16766862,17.57232151,15.81508936,15.81508936
Trevor Lawrence QB,24.94,16,16.72194411,15.64550767,15.5795772,15.55333043,16.51208209,16.60328876,13.28263101,18.26361764
Mac Jones QB,23.28,13.5,10.04968431,8.328889089,11.93715491,10.89902902,11.93715491,10.89155079,9.802395708,9.802395708
Lamar Jackson QB,23.06,20.8,15.91439375,16.28532751,16.68916205,16.43210153,16.5906181,21.74596258,23.92055883,19.57136632
Kirk Cousins QB,21.86,14.1,11.80438893,14.3036607,13.07033052,13.96956714,9.550386751,14.76685775,11.8134862,16.24354352
Derek Carr QB,20.8,17.2,15.72518618,14.59910562,15.1387319,15.03087303,15.90859423,16.0504236,14.44538124,14.44538124
Geno Smith QB,19.32,19.9,18.49476903,18.26489808,18.58969729,18.43821012,18.87397215,18.97880866,22.77457039,20.87668952
Patrick Mahomes QB,18.4,23.1,29.66988907,30.30133802,33.62263719,32.4220807,32.72057178,27.81459666,33.377516,30.59605633
Tom Brady QB,18.04,17.5,15.24149745,15.06755974,16.42727134,16.05449179,15.9627145,15.59134826,18.70961791,14.03221343
Joe Burrow QB,18,19.6,24.5533358,24.09006435,21.38408379,23.21422111,21.67265667,19.8200646,15.85605168,17.83805814
Jared Goff QB,17.6,13.8,11.24138074,12.47710828,12.56869581,12.60771442,11.35868291,15.00590082,12.00472066,16.5064909
Daniel Jones QB,14.52,15.7,15.92779432,16.31523692,11.83101923,15.07046485,10.49117462,13.7559583,11.00476664,12.38036247
Tua Tagovailoa QB,15.96,20.3,23.74446781,22.57036405,20.09189646,22.14656849,19.81071939,19.23733871,21.16107259,17.31360484
Marcus Mariota QB,13.86,14.1,15.73183942,15.43423162,13.23492769,15.00340988,12.78180883,13.86415612,12.47774051,12.47774051
Jimmy Garoppolo QB,13.28,15.2,21.12281248,19.65872122,17.56919811,19.11298861,18.37409022,15.65350878,17.21885965,17.21885965
Ryan Tannehill QB,12.54,13.7,19.44676144,19.34601013,19.98974925,19.78406903,20.30964469,13.93891246,16.72669495,15.3328037
Kenny Pickett QB,12.16,13.5,15.5045169,14.9079516,11.07118264,13.55841033,11.07118264,9.633923962,10.59731636,8.670531566
Andy Dalton QB,10.26,13.2,17.00718537,14.69875095,14.03830969,14.27675727,15.25002605,14.6958302,11.75666416,13.22624718
Matt Ryan QB,10.16,12.7,12.26237801,13.53808224,12.27572025,13.03938093,11.27671465,12.72427138,13.99669851,13.99669851
Aaron Rodgers QB,9.5,14.2,17.01342288,16.60960044,15.08405934,16.64832491,15.29897015,13.58795434,10.87036347,12.2291589
Russell Wilson QB,8.48,14.5,12.34060812,12.9004778,13.13386087,12.94304508,12.63541603,13.57191525,10.8575322,12.21472372
TOTAL DELTA,0,92.04,150.63,147.06,124.97,138.33,129.11,95.17,116.04,103.12