WEEK,OPP,CMP,ATT,PCT,YDS,AVG,TD,INT,RAT,ATT,YDS,AVG,TD,FPTS/G,FPTS
1,IND,23,37,62.2,240,6.5,2,0,98.93,2,-1,-0.5,0,15.5,15.5
2,DEN,19,38,50,177,4.7,0,0,63.16,2,1,0.5,0,7.2,7.18
3,CHI,20,32,62.5,245,7.7,1,2,70.44,0,0,0,0,9.8,9.8
4,LAC,26,35,74.3,246,7,2,2,88.51,0,0,0,0,13.8,13.84
5,JAX,16,24,66.7,140,5.8,0,0,81.94,2,2,1,0,5.8,5.8
7,LV,28,41,68.3,302,7.4,2,1,95.78,0,0,0,0,18.1,18.08
8,TEN,17,29,58.6,152,5.2,1,1,69.9,3,8,2.7,0,8.9,8.88
9,PHI,13,22,59.1,154,7,2,2,72.92,3,18,6,0,12,11.96
10,NYG,22,37,59.5,319,8.6,1,1,85.3,0,0,0,0,14.8,14.76
11,WAS,19,33,57.6,169,5.1,0,2,46.15,5,10,2,1,9.8,9.76